"alert__week","alert__year","alert__count","confidence__cat"
22,2018,36,"n"
22,2018,1,"h"
21,2018,1,"h"
21,2018,139,"n"
20,2018,179,"n"
20,2018,4,"h"
20,2018,1,"l"
19,2018,260,"n"
19,2018,6,"l"
19,2018,3,"h"
18,2018,1,"h"
18,2018,2,"l"
18,2018,222,"n"
17,2018,6,"h"
17,2018,153,"n"
17,2018,3,"l"
16,2018,131,"n"
16,2018,2,"l"
16,2018,3,"h"
15,2018,311,"n"
15,2018,21,"l"
15,2018,8,"h"
14,2018,6,"l"
14,2018,12,"h"
14,2018,471,"n"
13,2018,298,"n"
13,2018,4,"h"
13,2018,8,"l"
12,2018,25,"l"
12,2018,9,"h"
12,2018,323,"n"
11,2018,1,"h"
11,2018,218,"n"
11,2018,9,"l"
10,2018,3,"h"
10,2018,274,"n"
10,2018,4,"l"
9,2018,168,"n"
9,2018,1,"l"
8,2018,8,"l"
8,2018,130,"n"
7,2018,361,"n"
7,2018,29,"l"
7,2018,19,"h"
6,2018,5,"l"
6,2018,3,"h"
6,2018,184,"n"
5,2018,64,"n"
5,2018,1,"l"
4,2018,31,"n"
3,2018,29,"n"
3,2018,1,"h"
2,2018,16,"n"
1,2018,25,"n"
52,2017,24,"n"
52,2017,1,"l"
52,2017,1,"h"
51,2017,64,"n"
50,2017,112,"n"
50,2017,1,"l"
49,2017,61,"n"
48,2017,31,"n"
47,2017,57,"n"
47,2017,1,"l"
46,2017,67,"n"
46,2017,2,"h"
46,2017,4,"l"
45,2017,5,"l"
45,2017,74,"n"
44,2017,44,"n"
43,2017,1,"h"
43,2017,7,"l"
43,2017,107,"n"
42,2017,204,"n"
42,2017,8,"h"
42,2017,7,"l"
41,2017,5,"l"
41,2017,82,"n"
40,2017,157,"n"
40,2017,3,"h"
40,2017,1,"l"
39,2017,209,"n"
39,2017,7,"l"
39,2017,9,"h"
38,2017,3,"l"
38,2017,236,"n"
38,2017,3,"h"
37,2017,8,"l"
37,2017,110,"n"
36,2017,178,"n"
36,2017,5,"l"
35,2017,132,"n"
35,2017,2,"l"
35,2017,1,"h"
34,2017,9,"l"
34,2017,6,"h"
34,2017,314,"n"
33,2017,1,"l"
33,2017,99,"n"
32,2017,2,"h"
32,2017,86,"n"
31,2017,13,"l"
31,2017,516,"n"
31,2017,26,"h"
30,2017,14,"l"
30,2017,18,"h"
30,2017,805,"n"
29,2017,5,"l"
29,2017,9,"h"
29,2017,235,"n"
28,2017,1,"l"
28,2017,54,"n"
27,2017,6,"l"
27,2017,213,"n"
26,2017,1,"l"
26,2017,4,"h"
26,2017,144,"n"
25,2017,5,"h"
25,2017,82,"n"
25,2017,1,"l"
24,2017,3,"h"
24,2017,1,"l"
24,2017,139,"n"
23,2017,1,"h"
23,2017,4,"l"
23,2017,228,"n"
22,2017,114,"n"
22,2017,1,"h"
22,2017,1,"l"
21,2017,44,"n"
20,2017,89,"n"
20,2017,3,"h"
20,2017,1,"l"
19,2017,1,"l"
19,2017,87,"n"
18,2017,176,"n"
18,2017,7,"l"
18,2017,3,"h"
17,2017,197,"n"
17,2017,5,"h"
17,2017,8,"l"
16,2017,132,"n"
15,2017,165,"n"
15,2017,4,"l"
14,2017,78,"n"
14,2017,1,"l"
13,2017,30,"n"
13,2017,1,"l"
12,2017,2,"h"
12,2017,5,"l"
12,2017,92,"n"
11,2017,8,"l"
11,2017,244,"n"
11,2017,6,"h"
10,2017,2,"h"
10,2017,122,"n"
10,2017,11,"l"
9,2017,57,"n"
8,2017,1,"h"
8,2017,68,"n"
8,2017,2,"l"
7,2017,89,"n"
6,2017,146,"n"
6,2017,2,"h"
6,2017,1,"l"
5,2017,32,"n"
5,2017,1,"l"
4,2017,1,"h"
4,2017,1,"l"
4,2017,31,"n"
3,2017,36,"n"
3,2017,1,"l"
2,2017,5,"l"
2,2017,8,"h"
2,2017,250,"n"
1,2017,50,"n"
1,2017,4,"l"
53,2016,1,"h"
53,2016,46,"n"
52,2016,19,"n"
51,2016,4,"l"
51,2016,37,"n"
50,2016,160,"n"
50,2016,7,"l"
50,2016,1,"h"
49,2016,52,"n"
49,2016,1,"l"
48,2016,35,"n"
47,2016,29,"n"
46,2016,69,"n"
46,2016,1,"l"
46,2016,2,"h"
45,2016,85,"n"
45,2016,1,"h"
45,2016,1,"l"
44,2016,45,"n"
43,2016,27,"n"
42,2016,1,"l"
42,2016,92,"n"
41,2016,244,"n"
41,2016,1,"h"
41,2016,18,"l"
40,2016,10,"l"
40,2016,151,"n"
39,2016,212,"n"
39,2016,1,"h"
